row_order,requested_concept_code,target_concept_code,concept_code,standard_concept_name,n_code_target,n_code_no_target,n_target_no_code,n_no_code_no_target,n_target_before_code,n_code_before_target,odds_ratio,log_odds_ratio,total_with_code
24776,target_pcr_positive,target_pcr_positive,30156-Symptom_GI-3,"In the last 14 days,  the participant experienced the following gastrointestinal symptoms; Stomach or abdominal pain",8,45,44,429,44,45,1.8030621064328929,0.5894863897914815,53
42919,target_pcr_positive,target_pcr_positive,31393-join_why-2,"Participant joined the study, because of: Payment for participating",23,323,15,118,15,323,0.5553672034701101,-0.5881257561408572,346
7856,target_pcr_positive,target_pcr_positive,30103-conditionsrisks-8,Following underlying conditions or risk factors selected;Immunosuppressive disease,2,12,54,485,54,12,1.781651376146789,0.5775406736280808,14
38406,target_pcr_positive,target_pcr_positive,31346-past12mo_tech-4,"In the past 12 months, has used tech to: Share data that you collect about your health with a provider",14,110,24,331,24,110,1.7755102040816326,0.5740878205439571,124
4566,target_pcr_positive,target_pcr_positive,30103-conditionsrisks-14,Following underlying conditions or risk factors selected; Asthma,11,62,45,435,45,62,1.7611428571428571,0.5659629489625013,73
41696,target_pcr_positive,target_pcr_positive,31356-past12_recommended-3,"In the last 12 months, participant has: Practiced meditation",13,102,25,339,25,102,1.7535150645624102,0.5616223817002912,115
36526,target_pcr_positive,target_pcr_positive,31344-devices_own-2,Participant owns a: Tablet (iPad or Android),13,211,25,230,25,211,0.5769712140175219,-0.5499629027696261,224
36761,target_pcr_positive,target_pcr_positive,31344-devices_own-3,Participant owns a: Smartphone (iPhone or Android),33,403,5,38,5,403,0.5811648079306072,-0.5427208998236694,436
6916,target_pcr_positive,target_pcr_positive,30103-conditionsrisks-4,Following underlying conditions or risk factors selected;Obesity,13,76,43,421,43,76,1.7099391480730224,0.5364577839591654,89
5271,target_pcr_positive,target_pcr_positive,30103-conditionsrisks-17,Following underlying conditions or risk factors selected;Current Vape Use,3,18,53,479,53,18,1.6956302096489013,0.528054476832621,21
6681,target_pcr_positive,target_pcr_positive,30103-conditionsrisks-3,Following underlying conditions or risk factors selected;Hypertension,10,60,46,437,46,60,1.6328978938949614,0.4903562853310405,70
68395,target_pcr_positive,target_pcr_positive,bin_30119-Concentrating,Difficulty Concentrating,1,21,53,472,53,21,0.6161703977396218,-0.4842317339936162,22
70124,target_pcr_positive,target_pcr_positive,bin_31401-research_before,Previously Enrolled in Health Research,7,121,31,317,31,121,0.622183029590437,-0.4745209697371794,128
